繁體	简体	清末	甬	出處（甬）	鎮	出處（鎮）	侖	出處（侖）	定	出處（定）	字頻	備註	篩選
酯	酯		tsy3									化學用字	
紙	纸	ts	tsy3	1	tsy3	9	tsy3	10	tsy3	11			
帋	纸		tsy3	1									
梓	梓	ts	tsy3	2	tsy3	9	tsy3	10	tsy3	11			
只	只	ts	tsy3	2	tsy3	9					0.05	只有	
祇	只	ts	tsy3	2							0.05	只有	
咫	咫	ts	tsy3	7									
枳	枳	ts	tsy3	7									
軹	轵	ts	tsy3	7									
夂	夂	ts	tsy3	7									
齒	齿		tsy3	2	tsy1	9					0.05	牙齒	
鼠	鼠		tsy3	1	tsy1	9	tsy3	10	tsy3	11	0.05	限於“老鼠”“黃鼠狼”等	
笫	笫	ts	tsy3	7									
胏	胏	ts	tsy3	7									
訾	訾	ts	tsy3	7									
徵	徵	ts	tsy3	7							0.05	五音之一	
徴	徴		tsy3	7							0.05	五音之一	
志	志	ts			tsy3	9							
誌	志	ts			tsy3	9							
茈	茈		tsy3						tsy3	11			
詝	詝		tsy3										
呰	呰		tsy3										
訿	訿		tsy3										
杍	杍		tsy3										
坁	坁		tsy3										
扺	扺		tsy3										
抧	抧		tsy3										
恉	恉		tsy3										
茋	茋		tsy3										
飳	飳		tsy3	3							0.00	又音 僅限於“窩飳”	
至	至	ts	tsy5	1	tsy3	9	tsy5	10	tsy5	11			
致	致	cü	tsy5	2			tsy5	10	tsy5	11			
緻	致		tsy5	2									
㨖	㨖	ts							tsy5	11		㨖鞋：上鞋子	
輊	轾		tsy5										
識	识	ts	tsy5	7							0.00	標識	
熾	炽	ts	tsy5	7									
志	志	ts	tsy5	2	tsy5	9	tsy5	10	tsy5	11			
誌	志	ts	tsy5	2			tsy5	10					
痣	痣	ts	tsy5	1	tsy5	9	tsy5	10	tsy5	11			
置	置						tsy5	10	tsy5	11			
摯	挚	ts	tsy5	7	tsy5	9							
贄	贽	ts	tsy5	7									
鷙	鸷	ts	tsy5	7									
質	质	ts	tsy5	7							0.05		
觶	觯	ts	tsy5	7									
躓	踬	ts	tsy5	7									
胾	胾	ts	tsy5	7									
啻	啻	ts	tsy5	7									
𢴨	𢴨	ts	tsy5	7									
懥	懥	ts	tsy5	7									
恣	恣	ts	tsy5	7									
娡	娡		tsy5										
倳	倳		tsy5										
剚	剚		tsy5										
杘	杘		tsy5										
駤	𫘠		tsy5										
騺	騺		tsy5										
寘	寘		tsy5										
忮	忮		tsy5										
嗤	嗤		tshy1	2									
差	差	tsʽ	tshy1	2	tshy5	9	tshy1	10	tshy1	11	0.01	參差	
鈭	鈭	tsʽ	tshy1	7									
趑	趑		tshy1										
蠀	𧏗		tshy1										
趀	趀		tshy1										
妛	妛		tshy1										
胵	胵		tshy1										
鵄	鵄		tshy1										
此	此	tsʽ	tshy3	2	tshy1	9	tshy3	10	tshy3	11			
雌	雌	tsʽ	tshy3	1	tshy1	9	tshy1	10	tshy1	11			
齒	齿	tsʽ	tshy3	2	tshy1	9	tshy3	10	tshy3	11		齒輪	
疵	疵	tsʽ	tshy3	2			tshy1	10	tshy1	11			
跐	跐	tsʽ	tshy3	7									
泚	泚	tsʽ	tshy3	7									
㧗	㧗	tsʽ	tshy3	7									
玼	玼	tsʽ	tshy3	7									
佌	佌		tshy3										
垑	垑		tshy3										
袳	袳		tshy3										
欼	欼		tshy3										
鼠	鼠								tshy3	11	0.05	老鼠	
侈	侈	cʽü	tshy3	2	tshyu1	9	tshy3	10	tshy3	11			
次	次	tsʽ	tshy5	1	tshy5	9	tshy5	10	tshy5	11			
粢	粢		tshy5	3					tshyu3	11		粢飯	
刺	刺	tsʽ	tshy5	1	tshy5	9	tshy5	10	tshy5	11			
莿	莿	tsʽ	tshy5	7									
蛓	蛓	tsʽ	tshy5	7									
翅	翅	ts	tshy5	2	tshy3	9	tshy5	10	tshy5	11			
翄	翅		tshy5	2									
廁	厕		tshy5	1	tshy5	9	tshy5	10	tshy5	11			
厠	厕	ts	tshy5	1									
庛	庛		tshy5										
朿	朿		tshy5										
螆	螆		tshy5										
佽	佽		tshy5										
絘	絘		tshy5										
糦	糦		tshy5										
饎	饎		tshy5										
痓	痓		tshy5										
飭	饬								tshy5	11			
瓷	瓷	dz	dzy2	1	dzy2	9	dzy2	10	dzy2	11			
茨	茨	dz	dzy2	7									
兹	兹		dzy2	2									
茲	兹		dzy2	2	dzy2	9			dzy2	11			
磁	磁	dz	dzy2	2	dzy2	9	dzy2	10	dzy2	11			
慈	慈	dz	dzy2	1	dzy2	9	dzy2	10	dzy2	11			
鶿	鹚	dz	dzy2	7					dzy2	11			
鷀	鹚		dzy2	7									
辭	辞	dz	dzy2	2	dzy2	9	dzy2	10	dzy2	11			
辤	辞		dzy2	2									
辝	辝		dzy2										
詞	词	dz	dzy2	2	dzy2	9	dzy2	10	dzy2	11			
祠	祠	dz	dzy2	2			dzy2	10					
濨	濨		dzy2										
礠	礠		dzy2										
飺	飺		dzy2										
薋	薋		dzy2										
柌	柌		dzy2										
遲	迟	dzi	dzy2	2					dzy2	11	0.10	新讀	
墀	墀	dzi	dzy2	0							0.10	新讀	
蚳	蚳	dzi	dzy2	0							0.10	新讀	
持	持	dzi	dzy2	2			dzy2	10	dzy2	11	0.10	新讀	
池	池	dzi	dzy2	2			dzy2	10			0.10	新讀	
馳	驰	dzi	dzy2	2			dzy2	10			0.10	新讀	
嗣	嗣		dzy2	2	dzy2	9	zy6	10	zy6	11			
篪	篪	dzi	dzy2	0							0.10	新讀	
踟	踟	dzi	dzy2	0							0.10	新讀	
彽	彽		dzy2								0.10	新讀	
泜	泜		dzy2								0.10	新讀	
貾	貾		dzy2								0.10	新讀	
阺	阺		dzy2								0.10	新讀	
褫	褫	dzi	dzy4	0							0.10	新讀	
峙	峙	dzi	dzy4	2							0.10	新讀	
恃	恃	z	dzy4	2	zy6	9	zy6	10	zy4	11			
痔	痔	dzi	dzy4	2			dzy6	10	dzy2	11	0.10	新讀	
跱	跱		dzy4								0.10	新讀	
豸	豸	dzi	dzy4	0							0.10	新讀	
雉	雉	dzi	dzy4	0			dzy6	10	dzy6	11	0.10	新讀	
廌	廌		dzy4								0.10	新讀	
滍	滍		dzy4								0.10	新讀	
庤	庤		dzy4								0.10	新讀	
歭	歭		dzy4								0.10	新讀	
稚	稚		dzy6	1			dzy6	10				幼稚園	
稺	稚		dzy6	1								幼稚園	
穉	稚		dzy6	1								幼稚園	
滯	滞		dzy6	2			dzy6	10	dzy6	11	0.10	新讀	
彘	彘	dzi	dzy6	0							0.10	新讀	
飼	饲	dz	dzy6	1	zy2	9	zy6	10	zy6	11			
飤	饲		dzy6	1									
伺	伺	dz	dzy6	7	zy6	9	sy5	10	zy6	11			
髊	髊		dzy6										
芓	芓		dzy6										
茡	茡		dzy6										
治	治								dzy6	11			
師	师	s	sy1	1	sy1	9	sy1	10					
獅	狮	s	sy1	1	sy1	9	sy1	10	sy1	11			
篩	筛	s	sy1	1	sy1	9	sy1	10	sy1	11			
螄	蛳		sy1	1					sy1	11			
鶳	鶳	s	sy1	7									
溮	浉		sy1										
蓍	蓍	s	sy1	7									
詩	诗	s	sy1	2	sy1	9	sy1	10	sy1	11			
絲	丝	s	sy1	1	sy1	9	sy1	10	sy1	11			
鷥	鸶	s	sy1	1									
噝	咝		sy1										
思	思	s	sy1	2	sy1	9	sy1	10	sy1	11			
緦	缌	s	sy1	7									
偲	偲	s	sy1	7									
鍶	锶		sy1									化學元素	
楒	楒	s	sy1	7									
罳	罳	s	sy1	7									
𥯨	𥯨	s	sy1	7									
騦	騦	s	sy1	7									
颸	飔	s	sy1	7									
司	司	s	sy1	1	sy1	9	sy1	10	sy1	11			
笥	笥		sy1	1								土笥	
呞	呞	s	sy1	7									
泀	泀	s	sy1	7									
屍	尸	s	sy1	1	sy1	9	sy1	10	sy1	11			
尸	尸	s	sy1	2	sy1	9	sy1	10	sy1	11			
鳲	鸤	s	sy1	7									
施	施	s	sy1	2	sy1	9	sy1	10	sy1	11			
箷	箷	s	sy1	7									
𪓿	𪓿		sy1	3									
禠	禠		sy1										
厶	厶	s	sy1	7									
私	私	s	sy1	1	sy1	9	sy1	10	sy1	11			
俬	私		sy1	1									
斯	斯	s	sy1	1	sy1	9	sy1	10	sy1	11			
撕	撕	s	sy1	2	sy1	9	sy1	10	sy1	11			
嘶	嘶	s	sy1	5	sy1	9					730		
廝	厮	s	sy1	2	sy1	9	sy1	10					
厮	厮		sy1	2									
釃	酾		sy1										
恖	恖		sy1										
禗	禗		sy1										
蕬	蕬		sy1										
凘	凘		sy1										
榹	榹		sy1										
燍	燍		sy1										
磃	磃		sy1										
虒	虒		sy1										
蜤	蜤		sy1										
蟴	蟴		sy1										
鋖	鋖		sy1										
絁	𫄟		sy1										
葹	葹		sy1										
邿	邿		sy1										
蒒	蒒		sy1										
鰤	𫚕		sy1										
始	始	s	sy3	2	sy3	9	sy3	10	sy3	11			
𦰯	𦰯	s	sy3	7									
史	史	s	sy3	2	sy3	9	sy3	10	sy3	11			
使	使	s	sy3	1	sy3	9	sy3	10	sy3	11			
駛	驶	s	sy3	2	sy3	9	sy3	10	sy3	11			
鉂	鉂	s	sy3	7									
死	死	s	sy3	2	sy3	9					0.06	文讀	
梳	梳		sy3	1	sy1	9	sy1	10	sy1	11		白讀 梳頭	
矢	矢	s	sy3	2	sy3	9	sy3	10	sy3	11			
豕	豕	s	sy3	2	syu1	9							
屎	屎	s	sy3	2			sy3	10	sy3	11			
弛	弛	s	sy3	7	dzyu2	9							
阤	阤	s	sy3	7									
篩	筛	s					sy3	10					
賜	赐	s	sy5	2	sy5	9	tshy5	10	sy3	11			
澌	澌		sy5										
四	四	s	sy5	1	sy5	9	sy5	10	sy5	11			
亖	四	s	sy5	1									
𦉭	四	s	sy5	1									
泗	泗	s	sy5	7					sy5	11			
駟	驷	s	sy5	7									
肆	肆	s	sy5	2	sy5	9	sy5	10	sy5	11			
試	试	s	sy5	1	sy5	9	sy5	10	sy5	11			
弑	弑	s	sy5	7									
弒	弑	s	sy5	7									
㳏	㳏	s	sy5	7									
儩	儩		sy5										
杫	杫		sy5										
柶	柶		sy5										
牭	牭		sy5										
肂	肂		sy5										
蕼	蕼		sy5										
僿	僿		sy5										
時	时	z	sy5	3	zy2	9	zy2	10	zy2	11	0.00	僅限於“日長時久”	
旹	时		sy5	3							0.00	僅限於“日長時久”	
時	时	z	zy2	1	zy2	9	zy2	10	zy2	11			
旹	时		zy2	1									
鰣	鲥	z	zy2	1	zy6	9	zy2	10	zy2	11			
塒	埘	z	zy2	7									
蒔	莳	z	zy2	7									
榯	榯	z	zy2	7									
溡	𪶄	z	zy2	7									
鼭	鼭		zy2										
匙	匙	z	zy2	2	zy2	9	zy2	10	zy2	11			
㖷	㖷	z	zy2	7									
鶗	𫛸		zy2										
鋤	锄		zy2	1			zy2	10	zy2	11		白讀	
耡	锄		zy2	1								白讀	
鉏	锄		zy2	1								白讀	
餈	糍		zy2	3					zy2	11		𩞁餈	
糍	糍		zy2	3					zy2	11		𩞁餈	
𩝐	𩝐		zy2	6								同“糍”	
俟	俟	z	zy2	2	zy6	9	zy6	10					
竢	俟		zy2	2									
氏	氏	z	zy2	2	zy6	9	zy2	10	zy4	11			
似	似	z	zy2	2	zy6	9	zy6	10					
佀	似		zy2	2									
祀	祀	z	zy2	2	zy6	9	zy6	10	zy4	11			
禩	祀		zy2	2									
視	视	z	zy2	2	zy6	9	zy6	10	zy6	11			
眡	视		zy2	2									
眎	视		zy2	2									
侍	侍		zy2	2	zy6	9	zy6	10	zy6	11			
逝	逝	z	zy2	2	zy6	9	zy6	10	zy6	11			
嗜	嗜	z	zy2	2	zy6	9	zy6	10	zy6	11			
誓	誓	z	zy2	2	zy6	9	zy6	10	zy6	11			
茌	茌		zy2										
如	如	jü	zy2	1	zyu2	9	zyu2	10	zyu2	11	0.00	“譬如”及“譬如勿得”快讀时，“如”有時讀成[zɿ˨˦]	
示	示	z	zy4	1	zy6	9	zy6	10	zy6	11			
礻	礻		zy4										
士	士	z	zy4	1	zy6	9	zy6	10	zy4	11			
仕	仕	z	zy4	1	zy6	9	zy6	10	zy4	11			
市	市	z	zy4	1	zy6	9	zy6	10	zy4	11			
鈰	铈		zy4									化學元素	
涘	涘	z	zy4	7									
諟	諟	z	zy4	7									
舐	舐	z	zy4	7									
姒	姒	z	zy4	7									
巳	巳	z	zy4	1	zy6	9	zy6	10	zy4	11			
汜	汜	z	zy4	7									
兕	兕	z	zy4	7									
柿	柿	z	zy4	1	zy6	9	zy6	10	zy4	11			
柹	柿		zy4	1									
𣏕	𣏕		zy4									同“柿”	
枾	枾		zy4										
是	是	z	zy4	1	zy6	9	zy2	10	zy4	11			
昰	是		zy4	1									
耜	耜	z	zy4	7	zy2	9							
戺	戺		zy4										
泤	泤		zy4										
鈶	鈶		zy4										
舓	舓		zy4										
字	字	z	zy6	1	zy6	9	zy6	10	zy6	11			
牸	牸		zy6										
事	事	z	zy6	2	zy6	9	zy6	10	zy6	11			
亊	事		zy6	2									
自	自	z	zy6	1	zy6	9	zy6	10	zy6	11		文讀	
祠	祠	dz	zy6	1	zy2	9			zy2	11		祠堂	
寺	寺	z	zy6	1	zy6	9	zy6	10	zy6	11			
豉	豉	z	zy6	1			zy2	10	zy2	11		豆豉	
筮	筮		zy6										
噬	噬	z	zy6	7									
謚	谥		zy6	7									
諡	谥	z	zy6	7									
食	食	z	zy6	7							0.00		
澨	澨		zy6										
簭	簭		zy6										
觢	觢		zy6										
遾	遾		zy6										
孠	孠		zy6										
豎	竖	jü	zy6	1							0.00	“橫豎”的“豎”快讀時常讀成[zɿ˨˩˧]	
竪	竖		zy6	1							0.00	“橫豎”的“豎”快讀時常讀成[zɿ˨˩˧]	
慈	慈	dz	zy6	3	dzy2	9	dzy2	10	dzy2	11	0.00	又音 僅限於“粉慈慈”	
支	支		tsyu1	1			tsyu1	10			0.05	量詞	
枝	枝		tsyu1				tsyu1	10			0.05	量詞	
朱	朱	cü	tsyu1	1	tsyu1	9	tsyu1	10	tsyu1	11			
硃	硃	cü	tsyu1	2			tsyu1	10	tsyu1	11			
誅	诛	cü	tsyu1	2	tsyu5	9	tsyu1	10	tsyu1	11			
蛛	蛛		tsyu1	1	tsyu1	9	tsyu1	10	tsyu1	11			
株	株	cü	tsyu1	1	tsyu1	9	tsyu1	10	tsyu1	11			
珠	珠		tsyu1	1	tsyu1	9	tsyu1	10	tsyu1	11			
侏	侏	cü	tsyu1	1	tsyu1	9			tsyu1	11		短侏侏	
袾	袾	cü	tsyu1	7									
銖	铢	cü	tsyu1	7					tsyu1	11			
邾	邾	cü	tsyu1	7									
茱	茱	cü	tsyu1	7									
洙	洙	cü	tsyu1	7									
玍	玍		tsyu1	3									
知	知	cü	tsyu1	2	tsyu1	9	tsyu1	10	tsyu1	11			
蜘	蜘	cü	tsyu1	2	tsyu1	9	tsyu1	10	tsyu1	11			
智	智	cü	tsyu1	2	tsyu1	9	tsyu5	10	tsyu5	11			
䝷	䝷	cü	tsyu1	7									
炷	炷	cü	tsyu1	1									
諸	诸	cü	tsyu1	2	tsyu1	9	tsyu1	10	tsyu1	11			
瀦	潴	cü	tsyu1	7									
褚	褚		tsyu1	2					tsyu1	11	0.40		
渚	渚	cü	tsyu1	2									
櫫	橥		tsyu1										
且	且	cü	tsyu1	7	tshe3	9	tshe3	10	tshe3	11	0.00	文言助詞	
岨	岨	cü	tsyu1	7									
苴	苴	cü	tsyu1	7									
疽	疽	cü	tsyu1	7									
雎	雎		tsyu1	7									
沮	沮	cü	tsyu1	7									
菹	菹	cü	tsyu1	7									
蛆	蛆	cü	tsyu1	6									
趄	趄	cü	tsyu1	7									
置	置	cü	tsyu1	2	tsyu5	9	tsyu5	10					
櫧	槠		tsyu1										
蠩	蠩		tsyu1										
絑	絑		tsyu1										
鮢	鮢		tsyu1										
娵	娵		tsyu1										
鼅	鼅		tsyu1										
跦	跦		tsyu1										
鼄	鼄		tsyu1										
致	致	cü	tsyu1	3	tsyu1	9					0.00	情致	
滋	滋	ts	tsyu1	3							0.00	又音 僅限於“酸滋滋”	
癡	痴		tsyu1	1							0.00	“假癡假呆”中，“癡”快讀時有時讀成[tsʮ53]	
痴	痴		tsyu1	1							0.00	“假癡假呆”中，“癡”快讀時有時讀成[tsʮ53]	
錐	锥				tsyu1	9					0.00	白讀 錐鞋(鎮海)	
猪	猪	cü	tsyu3	1									
豬	猪		tsyu3	1	tsyu3	9	tsyu3	10	tsyu3	11			
主	主	cü	tsyu3	1	tsyu3	9	tsyu3	10	tsyu3	11			
飳	飳		tsyu3	3								窩飳	
麈	麈	cü	tsyu3	7									
砫	砫		tsyu3										
觜	觜		tsyu3										
嘴	嘴	cü	tsyu3	1	tsyu3	9	tsyu3	10	tsyu3	11			
丶	丶	cü	tsyu3	7									
咀	咀	cü	tsyu3	7					tsyu3	11			
陼	陼		tsyu3										
沝	沝		tsyu3										
宔	宔		tsyu3										
子	子	ts	tsyu3	1							0.00	僅限於“釘子”一詞	
注	注	cü	tsyu5	1	tsyu5	9	tsyu5	10	tsyu5	11			
註	注	cü	tsyu5	1					tsyu5	11			
拄	拄	cü	tsyu5	1	tsyu5	9	tsyu3	10	tsyu3	11			
蛀	蛀	cü	tsyu5	1	tsyu5	9	tsyu5	10	tsyu5	11			
疰	疰	cü	tsyu5	1	tsyu1	9			tsyu5	11			
霔	霔	cü	tsyu5	7									
㹥	㹥	cü	tsyu5	7									
跓	跓	cü	tsyu5	7									
鉒	鉒	cü	tsyu5	7									
紸	紸		tsyu5	7									
著	著	cü	tsyu5	7	tsyu5	9	tsyu5	10	tsyu5	11		著名	
鑄	铸	cü	tsyu5	1	tsyu5	9	tsyu5	10	tsyu5	11			
制	制	cü	tsyu5	1	tsyu5	9	tsyu5	10	tsyu5	11			
製	制	cü	tsyu5	1			tsyu5	10	tsyu5	11			
𦥐	𦥐		tsyu5	2								𦥐鞋	
㨖	㨖	ts	tsyu5	3					tsyu5	11		㨖鞋	
𩋩	𩋩		tsyu5	4								𩋩鞋	
𡟹	𡟹	cü	tsyu5	7									
䀸	䀸		tsyu5	7									
疐	疐	cü	tsyu5	7									
淛	淛		tsyu5										
狾	狾		tsyu5										
迣	迣		tsyu5										
祩	祩		tsyu5										
馵	馵		tsyu5										
壴	壴		tsyu5										
軴	軴		tsyu5										
趨	趋		tshyu1	2	tshyu1	9	tshyu1	10	tshyu1	11			
痴	痴	cʽü	tshyu1	2									
癡	痴		tshyu1	2	tshyu1	9	tshyu1	10	tshyu1	11			
笞	笞	cʽü	tshyu1	7									
魑	魑	cʽü	tshyu1	7									
黐	黐	cʽü	tshyu1	7									
螭	螭		tshyu1										
蚩	蚩	cʽü	tshyu1	2									
嗤	嗤		tshyu1	2	tshyu1	9	tshy1	10	tshyu1	11			
𠷣	嗤	cʽü	tshyu1	2									
媸	媸	cʽü	tshyu1	7	tshyu1	9							
𡟎	𡟎		tshyu1										
吹	吹		tshyu1	1	tshyu1	9	tshyu1	10	tshyu1	11		白讀	
蛆	蛆		tshyu1	6	chiu1	9	chiu1	10	chi1	11			
鴟	鸱	cʽü	tshyu1	7									
𩶅	𩶅	cʽü	tshyu1	7									
絺	𫄨	cʽü	tshyu1	7									
眵	眵	cʽü	tshyu1	7									
哆	哆	cʽü	tshyu1	7							0.05		
攄	摅	cʽü	tshyu1	7									
處	处	cʽü	tshyu1	1								處暑	
砠	砠		tshyu1										
彲	彨		tshyu1										
摛	摛		tshyu1										
摴	摴		tshyu1										
樗	樗		tshyu1										
貙	䝙		tshyu1										
處	处	cʽü	tshyu3	2	tshyu3	9	tshyu3	10				相處	
鼠	鼠	cʽü	tshyu3	2	tshyu3	9	tshyu3	10	tshyu3	11		文讀	
癙	癙	cʽü	tshyu3	7									
取	取	cʽü	tshyu3	1	tshyu3	9	tshyu3	10	tshyu3	11			
娶	娶	cʽü	tshyu3	2	tshyu3	9	tshyu3	10	tshyu3	11			
耻	耻		tshyu3	2					tshyu3	11			
恥	耻	cʽü	tshyu3	2	tshyu5	9	tshyu3	10	tshyu3	11			
祉	祉	cʽü	tshyu3	7									
杵	杵	cʽü	tshyu3	7			tshyu3	10	dzyu2	11			
褚	褚	cʽü	tshyu3	7			tshyu3	10				姓	
楮	楮		tshyu3										
柠	柠		tshyu3										
處	处	cʽü	tshyu5	2	tshyu5	9	tshyu5	10	tshyu5	11		到處	
趣	趣		tshyu5	1	tshyu1	9	tshyu5	10	tshyu5	11			
覷	觑	hyü	tshyu5	1									
覰	觑		tshyu5	1									
刞	刞		tshyu5										
痸	痸		tshyu5										
粢	粢		tshyu5	1					tshyu3	11		粢飯	
餈	糍				tshyu1	9					0.00	餈飯	#
糍	糍				tshyu1	9					0.00	餈飯	#
廚	厨	djü	dzyu2	1	dzyu2	9	dzyu2	10	dzyu2	11			
厨	厨		dzyu2	1									
櫥	橱	djü	dzyu2	1	dzyu2	9							
橱	橱		dzyu2	1									
躕	蹰		dzyu2										
蹰	蹰		dzyu2										
躇	躇	djü	dzyu2	7									
𨮿	𨮿	djü	dzyu2	7									
除	除	djü	dzyu2	1	dzyu2	9	dzyu2	10	dzyu2	11			
篨	篨	djü	dzyu2	7									
蜍	蜍	djü	dzyu2	7									
滁	滁		dzyu2										
蒢	蒢		dzyu2										
錘	锤		dzyu2	1	dzyu2	9						秤錘	
捶	捶	ze	dzyu2	3	dzyu2	9							
搥	捶		dzyu2	3									
𩣷	𩣷	djü	dzyu2	7									
炷	炷		dzyu2	3								量詞。用於點着的香	
幮	幮		dzyu2										
趎	趎		dzyu2										
錐	锥								dzyu2	11	0.00	秤錐	#
杼	杼	djü	dzyu4	7									
柱	柱	djü	dzyu4	1	dzyu6	9	dzyu6	10	dzyu4	11			
宁	㝉	djü	dzyu4	7									
佇	伫	djü	dzyu4	7									
竚	伫	djü	dzyu4	7									
貯	贮	djü	dzyu4	7	zyu6	9							
眝	𪾣		dzyu4										
紵	纻		dzyu4										
羜	羜		dzyu4										
嵀	嵀		dzyu4										
跙	跙		dzyu4										
治	治	djü	dzyu6	1	dzyu2	9	dzyu6	10	dzyu6	11			
住	住	djü	dzyu6	1	dzyu2	9	dzyu6	10	dzyu6	11			
駐	驻	djü	dzyu6	7	tsyu5	9			tsyu5	11			
縋	缒		dzyu6	1								縋落	
垂	垂				dzyu6						0.00	白讀 垂落	#
槌	槌		dzyu6	2	dzyu6	9			dzyu2	11		練槌	
牏	牏		dzyu6										
墜	坠		dzyu6	1					dzyu6	11	0.05	耳朵墜	
滯	滞		dzyu6	1	dzyu6	9	dzy6	10	dzy6	11	0.05	滯膯	
樹	树	jü	dzyu6	3							0.00	僅限於“解樹螂”	
書	书	shü	syu1	1	syu1	9	syu1	10	syu1	11			
輸	输	shü	syu1	2	syu1	9	syu1	10	syu1	11		輸贏	
絮	絮	shü	syu1	2	syu5	9	shiu5	10	syu5	11	0.05	文讀	
抒	抒	shü	syu1	2	zyu2	9							
庶	庶	shü	syu1	2	syu5	9	syu5	10	syu5	11			
庻	庶		syu1	2									
恕	恕	shü	syu1	2	syu5	9	syu5	10	syu5	11			
樞	枢		syu1	2			syu1	10					
舒	舒	shü	syu1	2	syu1	9	syu1	10	syu1	11			
紓	纾	shü	syu1	7									
貰	贳	shü	syu1	1	syu5	9			syu5	11		借；貸	
需	需	shü	syu1	2	syu1	9	syu1	10	syu1	11			
濡	濡	shü	syu1	7							0.00		
胥	胥	shü	syu1	7					shi5	11			
諝	谞	shü	syu1	7									
蝑	蝑	shü	syu1	7									
湑	湑	shü	syu1	7									
䈝	䈝	shü	syu1	7									
䱬	𩾊	shü	syu1	7									
揟	揟	shü	syu1	7									
須	须	shü	syu1	1	syu1	9	syu1	10	syu1	11		文讀	
鬚	须	shü	syu1	7							0.00	文讀	
