繁體	兼容格式	湯版頁碼	《阿拉宁波话》頁碼	朱版頁碼	釋義	備註	詞頻
鴨蛋青	aq dae chin	323					
鴨蛋子	aq dae tsy	323					55
鴨蛋石子	aq dae zaq tsy			303			
押頭	aq deu	323	126	190	用來抵押的東西		55
阿弟	aq di	321			弟弟，面稱、敘稱皆可		578
餲掉	aq diau	320	207	495	食物變質，發出黴味		55
阿大	aq dou	322	23	182	1. 舊稱商店經理；2. 排行第一的人		418
阿大打鐵	aq dou tan thiq						
壓髮帽	aq faq mau	323					55
阿戇	aq gaon	322					55
阿二	aq gni	322					55
鴨泥	aq gni	323	105	303	鴨廄中墊底的草和糞便的混合物，可作肥料		55
阿二嬉䏘	aq gni shi phiq						
阿孃	aq gnian	322	19	183	1. 變調 5-31，祖母；2. 變調 3-35，母親		
阿育王寺	aq gnioq waon zy	322					55
鴨廄間	aq ji kae	323	88		鴨棚；鴨舍		55
阿舅	aq jieu	321	21	184	1. 變調 5-31，舅舅；2. 變調 3-35，妻子的兄弟，敘稱		578
阿侄	aq jiq	323			之子		55
阿講	aq kaon	322	295	182	使勁；好好地		55
阿狗阿貓	aq keu aq mae		36		喻指隨便什麼人或身份低下的人		55
阿狗阿貓	aq keu aq mhau		36		喻指隨便什麼人或身份低下的人		55
阿公	aq kon	322	21	182	公公，丈夫的父親		578
阿公老頭	aq kon lau deu	322			公公，丈夫的父親		418
阿哥	aq kou	322			1. 變調 5-31，哥哥（面稱）；2. 變調 3-35，哥哥（敘稱）		
阿姑	aq ku	321	21	183	變調 5-31 或 3-35。1. 姑媽；2. 小姑，丈夫的妹妹		578
阿姑侄子	aq ku jiq tsy	321			姑姑和侄子		55
阿拐	aq kua		38		瘸子		55
阿拉	aq laq	322	38	183	我們；我		300000
阿拉老酒	aq laq lau cieu						
阿拉兩人	aq laq lian gnin	322					55
阿裏	aq li	321	40	182	1. 哪裏；什麼地方；2. 哪		30000
阿裏個	aq li ghoq				哪個		578
阿裏個	aq li goq	321			哪個		10000
阿裏一個	aq li iq ghoq				哪一個		578
阿裏一個	aq li iq goq	321			哪一個		578
阿裏一個	aq li iq kou	321			哪一個		578
阿裏一眼	aq li iq ngae	321	41		哪些		418
阿裏個	aq li kou	321			哪個		578
阿裏眼	aq li ngae	321	41		哪些		418
阿林孃	aq lin gnian						
阿六	aq loq	322					55
壓末	aq maq	323	18	95	末尾，末了		578
壓末腳	aq maq cian			95			
壓末腳	aq maq ciaq			95			
壓末名	aq maq min	323			倒數第一名		55
阿毛娘	aq mau gnian						
阿妹	aq mei	321			妹妹，面稱、敘稱皆可		
阿木人	aq moq gnin			184	木頭木腦的傻瓜		
阿木林	aq moq lin	322	29	184	木頭木腦的傻瓜		
阿奶	aq na	322			乳母		578
阿難	aq nae		257		很難；很不容易		
阿難弄	aq nae lon						
阿難死	aq nae shi	321	257		很爲難		55
阿五	aq ng	322					55
阿嗯奶	aq ng ne				兒童用語，奶水		
阿囡	aq noe	321	20	182	父母或長輩對小孩的暱稱		578
阿伯	aq pan	322	18		丈夫的哥哥		
阿伯	aq paq	322	18	182	父親		10000
阿爸	aq paq		18	183	父親		4000
阿伯阿姆勿認得	aq paq a m vaq gnin taq		286		用在動詞、形容詞加「勒」的後面，表示程度深（多用於消極方面）		
阿伯阿姆弗認得	aq paq a m vaq gnin taq				用在動詞、形容詞加「勒」的後面，表示程度深（多用於消極方面）		1
阿伯阿姆勿認得	aq paq an m vaq gnin taq				用在動詞、形容詞加「勒」的後面，表示程度深（多用於消極方面）		
阿伯阿姆弗認得	aq paq an m vaq gnin taq				用在動詞、形容詞加「勒」的後面，表示程度深（多用於消極方面）		1
阿伯值鈿小兒子	aq paq jiq di shiau ng tsy						
阿伯老頭	aq paq lau deu						
壓寶	aq pau	323			賭博的一種		
押寶	aq pau	323			賭博的一種		
阿寶背書	aq pau bei syu		332		喻指照本宣科，也指能流利地背出來		55
阿三	aq sae	322					
阿三磨剪刀	aq sae mou ci tau						
壓煞	aq saq	323	18	95	末尾，末了		578
壓煞名	aq saq min	323			倒數第一名		55
阿嫂	aq sau	321					578
阿鄉	aq shian	322	27		鄉巴佬		
阿小	aq shiau	321					55
阿嬸	aq shin	322	21	184	變調 5-31 或 3-35。1. 叔母；2. 丈夫的弟妻		578
鴨血	aq shiuq	323			鴨血		55
阿叔	aq son	322	21	183	變調 5-31 或 3-35。1. 叔父；2. 小叔子，丈夫的弟弟		578
阿叔侄子	aq son jiq tsy	322					55
阿啥	aq soq	322	40		1. 爲什麼；2. 動詞。幹什麼		40000
阿啥道理	aq soq dau li		40		爲什麼		55
阿啥行當	aq soq ghaon taon		40		爲什麼		55
阿啥幹	aq soq khi-khe				1. 爲什麼；2. 動詞。幹什麼		10000
阿啥幹	aq soq ki-ke	322	40		1. 爲什麼；2. 動詞。幹什麼		6000
阿啥體	aq soq thi	322			1. 爲什麼；2. 動詞。幹什麼		578
阿啥事體	aq soq zy thi		40		爲什麼		55
阿啥	aq sou	322	40	183	1. 爲什麼；2. 動詞。幹什麼		10000
阿啥道理	aq sou dau li		40		爲什麼		55
阿啥行當	aq sou ghaon taon		40		爲什麼		55
阿啥幹	aq sou khi-khe				1. 爲什麼；2. 動詞。幹什麼		578
阿啥幹	aq sou ki-ke	322	40		1. 爲什麼；2. 動詞。幹什麼		578
阿啥體	aq sou thi	322			1. 爲什麼；2. 動詞。幹什麼		578
阿啥事體	aq sou zy thi		40		爲什麼		55
阿四	aq sy	322					55
鴨屎臭	aq sy chieu		322		形容做事不光彩		55
阿四割卵脬	aq sy kaq loe phau						
鴨尿臭	aq syu chieu	323	322	303	形容做事不光彩		55
壓歲鈿	aq syu di		125	96	壓歲錢		55
壓歲銅鈿	aq syu don di		125	96	壓歲錢		55
阿太	aq tha	321	19	32	1. 曾祖父、曾祖母、外曾祖父、外曾祖母。；2. 表示感嘆或驚訝		578
阿爹	aq tia	321	18	183	父親		
阿爹阿孃勿認得	aq tia aq gnian vaq gnin taq		286		用在動詞、形容詞加「勒」的後面，表示程度深（多用於消極方面）		
阿爹阿孃弗認得	aq tia aq gnian vaq gnin taq				用在動詞、形容詞加「勒」的後面，表示程度深（多用於消極方面）		1
阿督	aq toq		23	184	戲稱頭兒、一把手		
壓罩頭	aq tsau deu						
壓倉氣	aq tshaon chi			96			
阿作姑	aq tsoq ku						
鴨肫	aq tsyun	323			鴨的胃		55
鴨肫乾	aq tsyun ki-ke	323			醃製曬乾的鴨肫		55
阿橫	aq uan		26		不正派的人		55
壓飯榔頭	aq vae laon deu		63	96	喻指很能下飯的菜餚，如鹹蟹、龍頭鮳等		55
押房子	aq vaon tsy	323					55
壓勿進	aq vaq cin						
壓弗進	aq vaq cin						1
壓勿煞	aq vaq saq						
壓弗煞	aq vaq saq	323	102	96		湯版等作「壓勿殺」。考慮統一性，宜作「煞」。	55
阿橫	aq wan			184	不正派的人		
阿黃	aq waon		55		肝炎患者		55
阿旺牛	aq waon ngeu						
阿活靈	aq waq lin		49		靈魂，多用於長輩對小孩或年輕女性之間說「活靈嚇出」時		55
阿爺	aq ya	321	19	182	祖父		
阿爺孫子	aq ya sen tsy	321			爺爺和孫子		55
阿姨	aq yi	321	21	19	1. 母親的妹妹；2. 稱呼與父母年齡相仿或稍小的婦女		
阿裏	aq yi		40	182	1. 哪裏；什麼地方；2. 哪		578
啊唷哇	aq yoq ua				疼痛時的喊叫		
阿賊揹板凳	aq zaq pei pae ten						
阿壽哥	aq zhieu kou			184			
鴨舌頭	aq zhiq deu	323					
鴨舌頭帽	aq zhiq deu mau	323	56		鴨舌帽		55
阿	aq7	321	306	182	1. 很；2. 名詞前綴。常用在單音節稱謂詞前；也可用在單音節姓、名或排行前（多含有親切或隨便的意味）；3. 名詞前綴。用在其他一些成分前構成名詞（多含有鄙夷或戲謔的意味）		
鴨	aq7	147					
襖襖	au au						
拗搶	au chian		209		斷裂；也比喻牴觸、合不來		55
拗輕重	au chin dzon		265	195	輕重、大小等比例失調		55
爊雞芋艿	au ci n na		72		芋艿燉雞，是一種地方特色菜		55
拗腳馬	au ciaq mo	94					55
五經魁	au cin khuei						
奧搞	au gau		255				55
詏人家做賊	au gnin ko tsou zaq						
拗軟骨	au gniu kuaq	93	182		身體向後彎，直到兩手撐住地面		55
拗花	au huo						
拗腰骨	au iau kuaq	93	169	196	活動腰部		55
奧克斯	au khaq sy						
嶴口	au kheu	93	6	161	山嶴的口子		55
拗殼子	au khoq tsy		321		定框架		55
䫜臉	au li	93	43	468		《阿拉宁波话》作「凹臉」。䫜，《廣韻》於交且，頭凹也。「䫜」較「凹」更優。	55
嶴裏	au li	93	6	161	山嶴裏面		55
奧裏奧搞	au li au gau		255	196			55
嶴里人	au li gnin						
䫜臉奤腦	au li phoq nau						
凹臉撲腦殼	au li phoq nau khoq						
懊悶	au mhen	94					55
懊惱	au nau	94					
奧魚	au ng				兒童用語 魚		
懊煞	au saq	94			很後悔		55
拗手	au shieu	93					55
拗手勁	au shieu jin	93	182	195	1. 扳手腕；比試手力。；2. 比喻較勁		55
拗斗	au teu	94	98		木製的自水器具，有豎柄有流		55
嶴底	au ti	93	6	161	山嶴的底部		55
鏖糟	au tsau	93	46, 266	497	1. 髒；不乾淨；2. 倒黴；3. 名詞。污物；髒東西；4. 名詞。特指婦女經血		418
鏖糟氣	au tsau chi	93					55
鏖糟褲	au tsau khu						
鏖糟眼	au tsau ngae	93	53	497	紅眼睛		55
鏖糟布頭	au tsau pu deu						
拗嘴奪理	au tsyu daq li	93			形容傷和氣		55
拗烏筍	au u syun						
燠飯	au vae						
噢胡噢胡	au wu au wu		179	467	形容說話含混不清		55
噢	au1		301	425, 457	表示領悟或突然想起		
嶴	au1		8	161	地名用詞，本指山嶴		
拗	au3	93	150	195	1. 折；彎曲使斷；2. 彎曲身體；3. 由平躺着直起上半身；4. 較量手力		
詏	au3	94	141	179	誣賴；毫無根據地說別人做了壞事		
扷	au5		145		把粉末狀食物送進嘴裏		
燠	au5	94	158	481	米下鍋後，加入適量的水		
排排	ba ba		229		形容小孩並排端坐的樣子		
排排船	ba ba zoe	58			船，兒童用語		
排排坐	ba ba zou			336			
牌九	ba cieu	58			一種牌類遊戲		
排頭	ba deu	58			批評		
牌頭	ba deu	58	128	403	靠山，後臺，所依附的力量	湯版作「排頭」。	
排地板	ba di pae						
排衣裳	ba i zaon						
排場	ba jian	58	306	335	用在「當+某人+名詞+～」（「把某人看作……」）結構中，沒有實在意義		
排球	ba jieu	58					
敗家精	ba ko cin	58	32	209	只會敗家的人		55
敗家子	ba ko tsy	58			敗家子，不務正業、揮霍家產的子弟		
排骨	ba kuaq	58					
敗落鄉紳	ba loq shian shin						
排門	ba men	58	85	335	商店前面可以活動的成排木板，營業時脫下，打烊時安上		55
敗門枋	ba men faon	58	321	208	敗壞家風		55
排門板	ba men pae	58			商店前面可以活動的成排木板，營業時脫下，打烊時安上		55
鮊魚	ba ng	58	69	434	一種中型淡水魚，體側扁，嘴向上翹，故又叫「翹嘴鮊魚」。夏季產的最肥美，俗有「冬鯽（音金）夏鮊」之說。		55
排八字	ba paq zy	58	181		算命；用人的生辰八字來推測命運的迷信活動		55
排梢	ba sau			336	用來連接木板的竹釘		
排銷	ba shiau	58	100	336	用來連接木板的竹釘		55
排刷	ba syuq	58	94	335	洗衣服的刷子		55
敗子	ba tsy	58	32	208	敗家子，不務正業、揮霍家產的子弟		
牌子	ba tsy	58					
牌子靠硬	ba tsy khau ngan						
牌位	ba wei	58					
排	ba2	58	159	335	1. 用板刷洗刷；2. 開裂		
辦酒	bae cieu				辦酒席		
辦酒窠	bae cieu khou	131			一種過家家遊戲		55
辦酒水	bae cieu syu	131			辦酒席		55
辦好日酒	bae hau gniq cieu						
辦公桌	bae kon tsoq	131					
𨂝水缺	bae syu chiuq						
𨂝出	bae tshyuq		215		出頭；用在整數後表示略有超出		55
辦移交	bae yi ciau	131					55
𨂝上	bae zaon		215		出頭；用在整數後表示略有超出		55
辦事體	bae zy thi	131					55
爿	bae2	131	120	48	1. 量詞。片；張；塊；2. 量詞。家（用於商店、工廠等）		
𨂝	bae6	131	161	473	跨		
彭彭	ban ban			335	形容塵埃飛揚的樣子		
彭彭揚	ban ban yan	203	266		形容塵埃飛揚		55
甏腳	ban ciaq	204					55
棚蟲	ban dzon	204	113	392	白蟻	湯版作「蟛蟲」。@sacheong 猜測首字爲「白蟻」二字合音。	55
碰着	ban dzoq						
蚌殼油	ban khoq yeu	317			一種防裂膏，用蚌殼裝		55
棚梯	ban the	203					55
碰㬹	ban tsan	203	47	424	踝子骨		55
棚車	ban tsho	203	89		悶罐車，鐵路上帶有鐵棚的貨運車輛，有時也用來代替客車		55
彭祖暴	ban tsu pau	203					55
碰勿得	ban vaq taq						
碰弗得	ban vaq taq						1
朋友	ban yeu	203			朋友，友情關係；男女朋友，戀愛關係		
朋友道裏	ban yeu dau li	203			朋友之間		55
朋友家	ban yeu ko	203	23	216	朋友		418
碰運道	ban yun dau						
碰着	ban zoq	203					
朋	ban2	203	194	216	拼；合		
甏	ban6	203	99	476	甕；罈子		
棒頭	baon dei			392	棍棒		
棒頭糖	baon dei daon			392	棒棒糖		
棒頭	baon deu		102	392	棍棒		418
棒頭糖	baon deu daon		81	392	棒棒糖		55
棒頭摜落來	baon deu guae loq le						
棒頭長𢿞𢿞	baon deu jian liau liau						
棒頭削勒筆尖	baon deu shiaq laq piq ci						
螃元蟹	baon gniu ha	228	66	490	一種長在海塗中的小蟹	《阿拉宁波话》作「蟛蚏蟹」，音不合。	55
防依來	baon i le		290		哪裏；怎麼		55
防來	baon le	228	290	129	哪裏；怎麼		
防來莫	baon le moq						
旁邊	baon pi	228	10		邊上；邊緣		
旁邊頭	baon pi deu	228	10		邊上；邊緣		55
棒冰	baon pin	228	81	392	冰棍		
傍早	baon tsau	228	288	404	趁早；提前		55
防勿到	baon vaq tau						
防弗到	baon vaq tau						1
防賊勿到撥賊笑	baon zaq vaq tau paq zaq shiau						
防賊弗到撥賊笑	baon zaq vaq tau paq zaq shiau						1
防	baon2	228	174	129	料；估計		
白白	baq baq	299					
白白喫	baq baq chioq						
白白講	baq baq kaon						
白白力力	baq baq li li		270	66	白費力氣；沒有效果和意義		55
白白力力	baq baq liq liq	299	270	66	白費力氣；沒有效果和意義		55
白白弄	baq baq lon						
白白問	baq baq men						
白白打	baq baq tan						
白白做	baq baq tsou						
白白話	baq baq wo						
白蒲	baq bu		74	64	1. 因未成熟瓜瓤呈白色的西瓜；2. 形容詞。西瓜瓜瓤呈白色的，生的		55
白蒲西瓜	baq bu shi kuo		74		因未成熟瓜瓤呈白色的西瓜		55
白蒲棗	baq bu tsau	298	75	65	一種大白棗，多鮮食		55
祓秋	baq chieu	300	182		立秋那一天喫西瓜消暑的習俗	《阿拉宁波话》作「拔秋」。「祓」音 baq8，或爲寧波俗音，The Ningpo Syllabary 亦記作 bah。	55
白金	baq cin	299					
白糖	baq daon	299					
白糖一沰	baq daon iq toq						
白糖梅子	baq daon mei tsy	299					55
白糖砒霜	baq daon phi saon	299	34	66	喻指口蜜腹劍的人		55
鼻頭	baq deu	300	43	450	鼻涕		3294
鼻頭紅	baq deu ghon	300			鼻血		418
鼻頭紅血	baq deu ghon shiuq	300			鼻血		578
鼻頭紅出	baq deu ghon tshyuq				流鼻血		
鼻頭樑	baq deu gnian		43	451	鼻樑		418
鼻頭管	baq deu kun	300	43	451	鼻子		578
鼻頭管尖頭	baq deu kun ci deu	300					55
鼻頭管洞眼	baq deu kun don ngae	300			鼻孔		55
鼻頭管塞煞	baq deu kun saq saq	300	172		鼻塞		55
鼻頭管縱仔	baq deu kun tson tsy						
鼻頭樑	baq deu lian	300	43	451	鼻樑		418
鼻頭靈光	baq deu lin kuaon	300					55
鼻頭毛	baq deu mau	300			鼻毛		418
鼻頭紅	baq deu on		44	450	鼻血		418
鼻頭紅血	baq deu on shiuq		44	450	鼻血		578
鼻頭紅出	baq deu on tshyuq				流鼻血		
鼻頭屙	baq deu ou	300	43	450	鼻屎		
鼻頭涴	baq deu ou	300	43	450	鼻屎		418
鼻頭屙結夾	baq deu ou ciq kaq						
鼻頭涴結夾	baq deu ou ciq kaq						1
鼻頭水	baq deu syu	300	43	450	清鼻涕		578
白頭到老	baq deu tau lau						
鼻頭涕汰	baq deu thi tha						
白銅	baq don	299					
白大頭	baq dou dei			64	一種顏色較淡的大葉青菜		
白大頭	baq dou deu	299	72	64	一種顏色較淡的大葉青菜		55
白肚皮	baq du bi	298	29	64	戲稱文盲，意謂沒有喝過墨水		55
白塗塗	baq du du		273	65	形容灰白或光線不明亮	朱版作「白荼荼」。	55
白肚裁	baq du ze						
白殕	baq fu		132		食物表面長的白色黴菌，也泛指像白殕一樣的東西		55
白乎乎	baq fu fu	298	273	65	像發黴一樣白花花的顏色	湯版作「白夫夫」，《阿拉宁波话》及朱版作「白殕殕」，《阿拉宁波话》也作「白膚膚」。《杭州方言詞典》作「白乎乎」。	55
白殕冬瓜	baq fu ton kuo						
白懈懈	baq ga ga			65			
白鞋	baq gha	298					55
拔河	baq ghou	300					
白泥其	baq gni ji		236	64	形容故作糊塗的樣子		55
白玉蘭	baq gnioq lae	300					
白日撞	baq gniq dzaon	300	28	64	白天溜門行竊的賊		55
白蟹	baq ha	298	65	64	梭子蟹		55
拔火罐	baq hou kun	300					
白花	baq huo		132	63	酒醋醬等變質後表面長的白色黴菌或白色泡沫		
拔花稈	baq huo ki-ke						
拔秧凳	baq ian ten			140			
拔長	baq jian	300	173		小孩長高		55
拔長短	baq jian toe		184		一種簡易抓鬮法，把稻草弄成長短不一若干份，一人握在手中，上端平齊露在外面，讓人隨意抽取，最長者爲勝，依次類推，以決定誰該得什麼或做什麼。		55
白鴿	baq kaq	299	111	64	鴿子		
白鴿籠	baq kaq lon	299	91	65	雙層牀		55
祓高秋	baq kau chieu						
白開水	baq khe syu	298					
白果	baq kou	299			銀杏果		
白果子	baq kou tsy	299	68		白姑魚，形似小黃魚，色白，肉粗，味道不如小黃魚		55
白果樹	baq kou zyu	299			銀杏樹		
白籃	baq lae	298	101	64, 244	用竹篾編成的大容器，圓形平底，邊框很淺，常用來曬東西		55
白蘭花	baq lae huo	298					
拔蠟燭頭	baq laq tsoq deu						
白老鼠	baq lau tsy						
白鰱	baq li	298	69		鰱魚，形如鱅魚，但腹部白色，頭不是很大，肉味略遜		
白力力	baq li li		270		白費力氣；沒有效果和意義		55
白䩍䩍	baq liau liau	298		65	形容臉色蒼白		55
白力力	baq liq liq		270		白費力氣；沒有效果和意義		55
白龍王廟何家	baq lon waon miau ghou ko						
白蘿蔔	baq lou boq	299					
白露	baq lu	298					
白帽頭	baq mau dei		57		遇喪事時戴的白布帽		55
白帽頭	baq mau deu	298	57	65	遇喪事時戴的白布帽		55
白咪咪	baq mhi mhi		273	64	形容有點白	朱版作「白米米」。	55
白米	baq mi	298					
白米蝦	baq mi huo	298					55
白米米	baq mi mi			64	形容有點白		
拔麪湯	baq mi thaon	300					55
白米飯蝦	baq mi vae huo		67	66	一種白色的小海蝦，大小如飯粒，一般用鹽水烤乾後喫。曬成幹則是上等蝦皮。		55
拔苗頭	baq miau deu	300	320	189	從表面揣測實情		55
白木耳	baq moq er	300					
白𤿏糕	baq nei kau	298					55
白眼	baq ngae	298	38	64	眼珠上有白點或眼珠偏斜不正的人		
白眼攦煞死	baq ngae li saq shi						
白板	baq pae	298					
白布頭	baq pu deu						
白鯗	baq shian		69		黃魚剖背去內臟加工而成的乾製品		
白相人	baq shian gnin	299			無業遊蕩的流氓		55
白相人嫂嫂	baq shian gnin sau sau	299			無業遊蕩的女流氓		
白相果	baq shian kou	299			玩具		418
白心番薯	baq shin fae zyu	299					55
白身人	baq shin gnin			64			
薄刀	baq tau		98	477	菜刀		418
薄刀劖人	baq tau zae gnin						
拔湯	baq thaon		189		某些食物在正式加工前放在開水裏煮一會兒，以去掉鹹、澀等味		55
白脫	baq thaq	299			奶油，英語 butter 的音譯		
白塔塔	baq thaq thaq	299	273	65	發白，白白的	《阿拉宁波话》及朱版作「白䵬䵬」。《集韻》䵬，託合切，黑也。無相關含義。	55
白塔洋	baq thaq yan						
白鐵	baq thiq	300			鍍鋅的薄鐵板，不易生鏽		
白鐵匠	baq thiq zhian	300					55
白癜風	baq ti fon	298					
白斬雞	baq tsae ci	298					
拔草	baq tshau	300					
白黢黢	baq tshyuq tshyuq			65			
白子	baq tsy	298					
白滋滋	baq tsy tsy						
白無常	baq vu dzaon				民間迷信中閻王派來勾魂的鬼卒，着白衣		55
白無常	baq wu- dzaon	298			民間迷信中閻王派來勾魂的鬼卒，着白衣		55
白洋洋	baq yan yan	299	273	64	白茫茫		55
白楊樹	baq yan zyu	299					
白藥	baq yaq	299	79		白色的圓球形酒麴，用米粉、寥等製成，用來釀造酒釀		
白煠蛋	baq zaq dae	299	65		帶殼水煮的雞蛋。		55
白市	baq zy	298					55
坺	baq8	300	120	189	量詞。用於不成形的小塊物體		
拔	baq8	300	187	189	1. 分期抽出錢來還債；2. 某些食物在正式加工前放在開水裏煮一會兒，以去掉鹹、澀等味		
浡	baq8			323			
白	baq8	298	133		泡沫		
跑堂個	bau daon ghoq						55
跑堂個	bau daon goq	232					55
跑大碼頭	bau dou mo deu						
跑鞋	bau gha	75	60	398	跑鞋		
刨鑊墨灰	bau ghoq moq huei						
刨娘	bau gnian	75					55
刨花	bau huo	75			刨木頭時刨下的碎屑，呈薄片狀		
褓裙	bau jiu		58	193	襁褓，包裹嬰兒的被或布		55
褓裙	bau jiun			193, 457	襁褓，包裹嬰兒的被或布		
跑街	bau ka	75					55
跑街人	bau ka gnin						
跑街先生	bau ka shi san	75					55
鮑家坎	bau ko khae						
跑過三關六碼頭	bau kou sae kuae loq mo deu						
暴冷攏	bau lan lon						
跑龍套個	bau lon thau ghoq						55
跑龍套個	bau lon thau goq	75					55
跑碼頭個	bau mo deu ghoq						55
